,dir,id,owner,group,size,month,day,time,file_name
36,-rwxr-xr-x,1,krista,staff,83.0,Nov,18.0,19:42,p.py
37,-rwxr-xr-x,1,krista,staff,93.0,Nov,18.0,19:42,p1.py
20,drwxr-xr-x,3,krista,staff,96.0,Dec,3.0,19:28,common
18,drwxr-xr-x,3,krista,staff,96.0,Dec,3.0,18:35,Day23_Nov30
29,drwxr-xr-x,3,krista,staff,96.0,Nov,18.0,20:17,day4
1,-rwxr-xr-x,1,krista,staff,113.0,Nov,18.0,19:42,26_1.py
10,-rwxr-xr-x,1,krista,staff,115.0,Nov,18.0,19:42,26_9.py
8,-rwxr-xr-x,1,krista,staff,127.0,Nov,18.0,19:42,26_6.py
35,drwxr-xr-x,4,krista,staff,128.0,Nov,25.0,09:39,day_8_5Nov
28,drwxr-xr-x,4,krista,staff,128.0,Nov,27.0,20:32,day18_nov22
27,drwxr-xr-x,4,krista,staff,128.0,Nov,22.0,07:34,day17_Nov21
25,drwxr-xr-x,4,krista,staff,128.0,Nov,25.0,09:40,day15_nov16
23,drwxr-xr-x,4,krista,staff,128.0,Nov,25.0,09:45,day11_nov12
17,drwxr-xr-x,4,krista,staff,128.0,Dec,2.0,09:53,Day22_Nov29
6,-rwxr-xr-x,1,krista,staff,129.0,Nov,18.0,19:42,26_3.py
3,-rwxr-xr-x,1,krista,staff,130.0,Nov,18.0,19:42,26_11.py
9,-rwxr-xr-x,1,krista,staff,131.0,Nov,18.0,19:42,26_8.py
2,-rwxr-xr-x,1,krista,staff,157.0,Nov,18.0,19:42,26_10.py
33,drwxr-xr-x,5,krista,staff,160.0,Nov,20.0,19:34,day8
22,drwxr-xr-x,5,krista,staff,160.0,Nov,25.0,09:45,day10_nov9
19,drwxr-xr-x,5,krista,staff,160.0,Dec,3.0,22:05,Day24_Dec03
16,drwxr-xr-x,5,krista,staff,160.0,Nov,27.0,20:24,Day20_Nov27
38,-rwxr-xr-x,1,krista,staff,169.0,Nov,18.0,19:42,p2.py
26,drwxr-xr-x,6,krista,staff,192.0,Nov,22.0,07:59,day16_nov19
34,drwxr-xr-x,6,krista,staff,192.0,Nov,25.0,09:25,day9
15,drwxr-xr-x,6,krista,staff,192.0,Nov,27.0,18:23,Day19_Nov26
30,drwxr-xr-x,6,krista,staff,192.0,Nov,18.0,20:17,day5
4,-rwxr-xr-x,1,krista,staff,201.0,Nov,18.0,19:42,26_12.py
24,drwxr-xr-x,7,krista,staff,224.0,Nov,25.0,09:45,day12_nov13
21,drwxr-xr-x,7,krista,staff,224.0,Nov,20.0,19:32,day10_8_Nov18
32,drwxr-xr-x,7,krista,staff,224.0,Nov,18.0,20:17,day7
12,drwxr-xr-x,8,krista,staff,256.0,Nov,25.0,09:45,Day13_NOV13
11,-rwxr-xr-x,1,krista,staff,260.0,Nov,18.0,19:42,8.py
7,-rwxr-xr-x,1,krista,staff,286.0,Nov,18.0,19:42,26_4.py
31,drwxr-xr-x,9,krista,staff,288.0,Nov,18.0,21:16,day6
5,-rwxr-xr-x,1,krista,staff,340.0,Nov,18.0,19:42,26_2.py
13,drwxr-xr-x,15,krista,staff,480.0,Nov,25.0,09:45,Day14_NOV14
14,-rw-r--r--,1,krista,staff,7302.0,Nov,20.0,19:46,Day14_NOV14.zip
0,total,128,,,,,,,
